"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"1","10","3","3","6","1","93","M","2","L","L","L","L","L","L","L","L","57","5","17","7","5","577240","1","1","1","2","1","1","1","1","1","57","5","9",31,52,40,110000
"2","11","3","6","3","1","93","M","1","L","L","L","L","L","L","L","L","41","4","15","4","1","419230","1","1","1","1","1","1","1","1","2","11","1","3",34,52,40,100000
"3","10","3","4","7","5","93","M","2","L","L","L","L","L","L","L","L","11","1","15","4","6","116730","2","1","2","1","1","2","1","3","2","11","1","7",31,52,40,224700
"4","17","2","3","1","5","93","F","3","L","L","L","L","L","L","L","L","33","3","15","6","6","338780","1","1","1","1","1","1","2","1","1","33","3","8",32,52,40,137000
"5","11","3","5","3","4","85","F","2","L","L","L","L","L","L","L","L","73","7","17","3","2","739100","1","1","1","1","1","1","1","1","1","75","7","6",30,52,30,44000
"6","17","2","3","7","7","87","F","1","L","L","L","L","L","L","L","L","44","4","18","3","4","449290","1","1","1","1","1","1","1","1","2","76","7","4",32,52,40,72000
"7","17","2","1","1","1","85","F","2","L","L","L","L","L","L","L","L","12","1","15","2","1","128420","1","1","1","2","1","2","1","1","2","65","6","8",31,52,40,130000
"8","15","2","1","7","5","88","M","1","L","L","L","L","L","L","L","L","31","3","22","5","4","318730","1","1","1","1","1","1","1","1","1","34","3","1",35,52,40,82000
"9","10","3","6","3","5","87","M","1","L","L","L","L","L","L","L","L","76","7","15","5","2","766820","2","1","2","3","1","3","1","1","3","61","6","5",30,52,40,95000
"10","10","3","4","3","5","93","F","2","L","L","L","L","L","L","L","L","61","6","15","7","5","617900","1","1","1","1","1","1","2","1","1","12","1","5",34,52,40,150000
"11","11","3","6","7","4","97","M","2","L","L","L","L","L","L","L","L","61","6","15","1","1","617910","1","1","1","1","1","1","1","1","1","75","7","8",34,52,40,74000
"12","10","3","4","3","1","97","M","2","L","L","L","L","L","L","L","L","56","5","15","1","1","567350","1","1","2","2","1","2","1","1","2","62","6","10",34,52,60,150000
